,code,name
0,000929,兰州黄河
1,002182,云海金属
2,600360,华微电子
3,002793,东音股份
4,002768,国恩股份
5,002652,扬子新材
6,002204,大连重工
7,002633,申科股份
8,002636,金安国纪
9,603868,飞科电器
10,002702,海欣食品
11,002661,克明面业
12,603726,朗迪集团
13,603701,德宏股份
14,300474,景嘉微
15,603798,康普顿
16,300508,维宏股份
17,002407,多氟多
18,603618,杭电股份
19,000593,大通燃气
20,000632,三木集团
21,300242,明家联合
22,603028,赛福天
23,002656,摩登大道
24,002032,苏泊尔
25,002242,九阳股份
26,300051,三五互联
27,300372,欣泰电气
28,002729,好利来
29,002326,永太科技
30,002225,濮耐股份
31,002610,爱康科技
32,000153,丰原药业
33,000780,平庄能源
34,002466,天齐锂业
35,000503,海虹控股
36,002035,华帝股份
37,002782,可立克
38,600796,钱江生化
39,000595,宝塔实业
40,002175,东方网络
41,000890,法尔胜
42,000418,小天鹅A
43,300324,旋极信息
44,002508,老板电器
45,002192,融捷股份
46,300040,九洲电气
47,002781,奇信股份
48,002770,科迪乳业
49,600527,江南高纤
50,300478,杭州高新
51,002632,道明光学
52,600054,黄山旅游
53,002213,特尔佳
54,002643,万润股份
55,002629,仁智油服
56,600419,天润乳业
57,002614,蒙发利
58,002788,鹭燕医药
59,603306,华懋科技
60,600383,金地集团
61,000590,启迪古汉
62,000700,模塑科技
63,300141,和顺电气
64,300327,中颖电子
65,002460,赣锋锂业
66,002709,天赐材料
67,002241,歌尔声学
68,600156,华升股份
69,002779,中坚科技
70,600694,大商股份
71,002510,天汽模
72,600356,恒丰纸业
73,600681,万鸿集团
74,000078,海王生物
75,300466,赛摩电气
76,300160,秀强股份
77,002575,群兴玩具
78,002638,勤上光电
79,600467,好当家
80,603616,韩建河山
81,000820,金城股份
82,002616,长青集团
83,300157,恒泰艾普
84,300374,恒通科技
85,002583,海能达
86,600250,南纺股份
87,000915,山大华特
88,002062,宏润建设
89,002240,威华股份
90,000404,华意压缩
91,002630,华西能源
92,300377,赢时胜
93,601799,星宇股份
94,601113,华鼎股份
95,300093,金刚玻璃
96,000400,许继电气
97,300443,金雷风电
98,002138,顺络电子
99,002496,辉丰股份
100,300006,莱美药业
101,600075,新疆天业
102,300379,东方通
103,300447,全信股份
104,002059,云南旅游
105,300321,同大股份
106,002380,科远股份
107,300083,劲胜精密
108,000536,华映科技
109,002539,新都化工
110,002212,南洋股份
111,002560,通达股份
112,600275,武昌鱼
113,002705,新宝股份
114,002765,蓝黛传动
115,600072,钢构工程
116,600962,国投中鲁
117,000659,*ST中富
118,600593,大连圣亚
119,002604,龙力生物
120,300491,通合科技
121,000662,索芙特
122,002123,荣信股份
123,600733,S前锋
124,000510,*ST金路
125,600767,运盛医疗
126,300311,任子行
127,002518,科士达
128,000037,*ST南电A
129,603778,乾景园林
130,002437,誉衡药业
131,300216,千山药机
132,300249,依米康
133,002522,浙江众成
134,000513,丽珠集团
135,600386,北巴传媒
136,002677,浙江美大
137,600763,通策医疗
138,002350,北京科锐
139,000895,双汇发展
140,002078,太阳纸业
141,002597,金禾实业
142,300451,创业软件
143,000680,山推股份
144,300246,宝莱特
145,600076,康欣新材
146,002727,一心堂
147,300014,亿纬锂能
148,002298,中电鑫龙
149,000810,创维数字
150,603126,中材节能
151,300247,乐金健康
152,603001,奥康国际
153,002776,柏堡龙
154,000798,中水渔业
155,002373,千方科技
156,002195,二三四五
157,002777,久远银海
158,000059,华锦股份
159,000803,金宇车城
160,300073,当升科技
161,300091,金通灵
162,002372,伟星新材
163,300113,顺网科技
164,002364,中恒电气
165,002475,立讯精密
166,002473,圣莱达
167,000839,中信国安
168,600594,益佰制药
169,002140,东华科技
170,002037,久联发展
171,002084,海鸥卫浴
172,603996,中新科技
173,002634,棒杰股份
174,002601,佰利联
175,002334,英威腾
176,300289,利德曼
177,002014,永新股份
178,600101,明星电力
179,002030,达安基因
180,600602,仪电电子
181,300031,宝通科技
182,002058,威尔泰
183,603023,威帝股份
184,002479,富春环保
185,000785,武汉中商
186,000609,绵世股份
187,300256,星星科技
188,002191,劲嘉股份
189,300427,红相电力
190,002411,必康股份
191,002357,富临运业
192,300414,中光防雷
193,600312,平高电气
194,300476,胜宏科技
195,002074,国轩高科
196,002210,飞马国际
197,002098,浔兴股份
198,000972,新中基
199,603088,宁波精达
200,002593,日上集团
201,002358,森源电气
202,002093,国脉科技
203,002602,世纪华通
204,000819,岳阳兴长
205,300227,光韵达
206,300062,中能电气
207,300135,宝利国际
208,000596,古井贡酒
209,002533,金杯电工
210,000564,西安民生
211,002261,拓维信息
212,600455,博通股份
213,300162,雷曼股份
214,000909,数源科技
215,600198,大唐电信
216,002026,山东威达
217,002747,埃斯顿
218,300356,光一科技
219,002341,新纶科技
220,300390,天华超净
221,000967,盈峰环境
222,000797,中国武夷
223,002615,哈尔斯
224,002529,海源机械
225,300153,科泰电源
226,300496,中科创达
227,600697,欧亚集团
228,300080,易成新能
229,002760,凤形股份
230,002418,康盛股份
231,300217,东方电热
232,600298,安琪酵母
233,002105,信隆实业
234,002053,云南盐化
235,000333,美的集团
236,300139,晓程科技
237,600355,精伦电子
238,300199,翰宇药业
239,002359,齐星铁塔
240,300277,海联讯
241,600173,卧龙地产
242,603066,音飞储存
243,002426,胜利精密
244,300209,天泽信息
245,002495,佳隆股份
246,300009,安科生物
247,000584,友利控股
248,002323,雅百特
249,300059,东方财富
250,601880,大连港
251,600493,凤竹纺织
252,600568,中珠控股
253,300037,新宙邦
254,000035,中国天楹
255,603003,龙宇燃油
256,300048,合康变频
257,600559,老白干酒
258,002589,瑞康医药
259,000861,海印股份
260,000561,烽火电子
261,002131,利欧股份
262,300033,同花顺
263,002153,石基信息
264,002772,众兴菌业
265,000622,恒立实业
266,002217,合力泰
267,603368,柳州医药
268,002118,紫鑫药业
269,600346,大橡塑
270,000548,湖南投资
271,300435,中泰股份
272,002740,爱迪尔
273,000995,*ST皇台
274,002425,凯撒股份
275,002719,麦趣尔
276,600917,重庆燃气
277,300259,新天科技
278,600750,江中药业
279,300103,达刚路机
280,300114,中航电测
281,002749,国光股份
282,002482,广田股份
283,300056,三维丝
284,300376,易事特
285,002387,黑牛食品
286,002642,荣之联
287,002484,江海股份
288,603866,桃李面包
289,002786,银宝山新
290,603518,维格娜丝
291,300036,超图软件
292,600155,宝硕股份
293,600884,杉杉股份
294,300370,安控科技
295,002117,东港股份
296,002034,美欣达
297,600797,浙大网新
298,600405,动力源
299,002546,新联电子
300,300468,四方精创
301,002279,久其软件
302,600105,永鼎股份
303,600725,云维股份
304,300500,苏州设计
305,000987,广州友谊
306,002623,亚玛顿
307,002724,海洋王
308,300061,康耐特
309,300268,万福生科
310,002208,合肥城建
311,002235,安妮股份
312,603936,博敏电子
313,002096,南岭民爆
314,600193,创兴资源
315,600130,波导股份
316,300463,迈克生物
317,000869,张裕A
318,002635,安洁科技
319,300016,北陆药业
320,002148,北纬通信
321,300264,佳创视讯
322,603997,继峰股份
323,002452,长高集团
324,002047,宝鹰股份
325,000921,海信科龙
326,002382,蓝帆医疗
327,600093,禾嘉股份
328,000411,英特集团
329,002657,中科金财
330,600680,上海普天
331,002733,雄韬股份
332,002431,棕榈股份
333,300348,长亮科技
334,600519,贵州茅台
335,300345,红宇新材
336,300078,思创医惠
337,600997,开滦股份
338,300068,南都电源
339,000812,陕西金叶
340,600678,四川金顶
341,002512,达华智能
342,002419,天虹商场
343,002374,丽鹏股份
344,600706,曲江文旅
345,601886,江河集团
346,300171,东富龙
347,300066,三川智慧
348,300206,理邦仪器
349,300501,海顺新材
350,300358,楚天科技
351,002660,茂硕电源
352,002504,弘高创意
353,002258,利尔化学
354,600452,涪陵电力
355,300145,南方泵业
356,002543,万和电气
357,600525,长园集团
358,002462,嘉事堂
359,002223,鱼跃医疗
360,002189,利达光电
361,002586,围海股份
362,300205,天喻信息
363,002388,新亚制程
364,000525,红太阳
365,002276,万马股份
366,002139,拓邦股份
367,600599,熊猫金控
368,002050,三花股份
369,000049,德赛电池
370,603166,福达股份
371,300494,盛天网络
372,600084,中葡股份
373,603377,东方时尚
374,600566,济川药业
375,000018,神州长城
376,601567,三星医疗
377,300069,金利华电
378,300394,天孚通信
379,300181,佐力药业
380,000901,航天科技
381,300119,瑞普生物
382,300483,沃施股份
383,300248,新开普
384,300467,迅游科技
385,601208,东材科技
386,000025,特力A
387,002603,以岭药业
388,300431,暴风科技
389,600563,法拉电子
390,000557,*ST广夏
391,300029,天龙光电
392,300149,量子高科
393,000576,广东甘化
394,002292,奥飞娱乐
395,000957,中通客车
396,002464,金利科技
397,002580,圣阳股份
398,600778,友好集团
399,603636,南威软件
400,300001,特锐德
401,000750,国海证券
402,002027,分众传媒
403,300075,数字政通
404,600167,联美控股
405,002664,信质电机
406,300328,宜安科技
407,002141,蓉胜超微
408,300288,朗玛信息
409,002031,巨轮智能
410,002402,和而泰
411,300306,远方光电
412,002229,鸿博股份
413,300232,洲明科技
414,300077,国民技术
415,603398,邦宝益智
416,002711,欧浦智网
417,002165,红宝丽
418,600794,保税科技
419,002097,山河智能
420,300151,昌红科技
421,300438,鹏辉能源
422,000887,中鼎股份
423,002625,龙生股份
424,002725,跃岭股份
425,601608,中信重工
426,300228,富瑞特装
427,002723,金莱特
428,600969,郴电国际
429,603600,永艺股份
430,002108,沧州明珠
431,000695,滨海能源
432,002150,通润装备
433,300319,麦捷科技
434,300065,海兰信
435,002351,漫步者
436,000888,峨眉山A
437,300168,万达信息
438,300485,赛升药业
439,000613,大东海A
440,300493,润欣科技
441,600898,三联商社
442,600536,中国软件
443,002183,怡亚通
444,300047,天源迪科
445,000534,万泽股份
446,300197,铁汉生态
447,300300,汉鼎股份
448,300138,晨光生物
449,002584,西陇科学
450,002688,金河生物
451,300187,永清环保
452,000523,广州浪奇
453,603919,金徽酒
454,600186,莲花健康
455,300207,欣旺达
456,000599,青岛双星
457,300389,艾比森
458,000410,沈阳机床
459,002528,英飞拓
460,000733,振华科技
461,002304,洋河股份
462,002718,友邦吊顶
463,600190,锦州港
464,000040,宝安地产
465,002186,全聚德
466,000691,亚太实业
467,600830,香溢融通
468,600213,亚星客车
469,002174,游族网络
470,300152,科融环境
471,600892,宝诚股份
472,000403,ST生化
473,002045,国光电器
474,002516,旷达科技
475,603696,安记食品
476,002789,建艺集团
477,002134,天津普林
478,300027,华谊兄弟
479,601139,深圳燃气
480,002286,保龄宝
481,600176,中国巨石
482,002020,京新药业
483,002441,众业达
484,300353,东土科技
485,300146,汤臣倍健
486,000958,东方能源
487,300310,宜通世纪
488,300097,智云股份
489,002415,海康威视
490,000567,海德股份
491,300244,迪安诊断
492,600376,首开股份
493,600201,生物股份
494,002674,兴业科技
495,600446,金证股份
496,000679,大连友谊
497,300314,戴维医疗
498,002700,新疆浩源
499,002783,凯龙股份
500,300359,全通教育
501,300284,苏交科
502,002513,蓝丰生化
503,300086,康芝药业
504,600645,中源协和
505,601368,绿城水务
506,002769,普路通
507,002414,高德红外
508,300409,道氏技术
509,300302,同有科技
510,002371,七星电子
511,300296,利亚德
512,002670,华声股份
513,002335,科华恒盛
514,000965,天保基建
515,002328,新朋股份
516,300236,上海新阳
517,000670,盈方微
518,600814,杭州解百
519,600707,彩虹股份
520,300482,万孚生物
521,600831,广电网络
522,002486,嘉麟杰
523,002346,柘中股份
524,002631,德尔未来
525,603828,柯利达
526,002218,拓日新能
527,300237,美晨科技
528,600781,辅仁药业
529,601688,华泰证券
530,002227,奥特迅
531,002281,光迅科技
532,600633,浙报传媒
533,002721,金一文化
534,300155,安居宝
535,603998,方盛制药
536,300448,浩云科技
537,300278,华昌达
538,300219,鸿利光电
539,600671,天目药业
540,000016,深康佳A
541,603020,爱普股份
542,300456,耐威科技
543,002467,二六三
544,002627,宜昌交运
545,600348,阳泉煤业
546,603018,设计股份
547,300204,舒泰神
548,601098,中南传媒
549,300252,金信诺
550,000935,四川双马
551,002577,雷柏科技
552,300081,恒信移动
553,002236,大华股份
554,600729,重庆百货
555,000916,华北高速
556,603015,弘讯科技
557,002028,思源电气
558,002224,三力士
559,600810,神马股份
560,002248,华东数控
561,300170,汉得信息
562,600809,山西汾酒
563,002345,潮宏基
564,002412,汉森制药
565,300092,科新机电
566,600268,国电南自
567,300133,华策影视
568,600698,湖南天雁
569,300167,迪威视讯
570,300305,裕兴股份
571,300233,金城医药
572,300480,光力科技
573,002294,信立泰
574,600112,天成控股
575,002605,姚记扑克
576,600243,青海华鼎
577,300365,恒华科技
578,600237,铜峰电子
579,300349,金卡股份
580,002184,海得控制
581,600597,光明乳业
582,002040,南京港
583,000601,韶能股份
584,300030,阳普医疗
585,300294,博雅生物
586,600183,生益科技
587,600476,湘邮科技
588,000650,仁和药业
589,600197,伊力特
590,000710,天兴仪表
591,300449,汉邦高科
592,300413,快乐购
593,002424,贵州百灵
594,600966,博汇纸业
595,002416,爱施德
596,300118,东方日升
597,300433,蓝思科技
598,002571,德力股份
599,600070,浙江富润
600,600249,两面针
601,600211,西藏药业
602,300089,文化长城
603,002403,爱仕达
604,002305,南国置业
605,600643,爱建集团
606,600418,江淮汽车
607,600728,佳都科技
608,002701,奥瑞金
609,603158,腾龙股份
610,002438,江苏神通
611,002338,奥普光电
612,300050,世纪鼎利
613,002667,鞍重股份
614,600649,城投控股
615,600699,均胜电子
616,002531,天顺风能
617,600769,祥龙电业
618,000607,华媒控股
619,603608,天创时尚
620,000858,五粮液
621,002775,文科园林
622,300350,华鹏飞
623,000988,华工科技
624,002280,联络互动
625,600807,天业股份
626,002222,福晶科技
627,002253,川大智胜
628,300087,荃银高科
629,300120,经纬电材
630,603869,北部湾旅
631,300273,和佳股份
632,300122,智飞生物
633,002368,太极股份
634,000782,美达股份
635,600460,士兰微
636,002763,汇洁股份
637,601991,大唐发电
638,002322,理工监测
639,600679,上海凤凰
640,600784,鲁银投资
641,002527,新时达
642,600959,江苏有线
643,603979,金诚信
644,600537,亿晶光电
645,300003,乐普医疗
646,000520,长航凤凰
647,300318,博晖创新
648,002502,骅威股份
649,600727,鲁北化工
650,002216,三全食品
651,603598,引力传媒
652,300479,神思电子
653,300213,佳讯飞鸿
654,601238,广汽集团
655,300015,爱尔眼科
656,300079,数码视讯
657,601566,九牧王
658,300261,雅本化学
659,300222,科大智能
660,600503,华丽家族
661,300196,长海股份
662,300272,开能环保
663,000529,广弘控股
664,002581,未名医药
665,002455,百川股份
666,600133,东湖高新
667,002787,华源包装
668,300190,维尔利
669,600069,银鸽投资
670,601198,东兴证券
671,002722,金轮股份
672,603566,普莱柯
673,600693,东百集团
674,600722,金牛化工
675,600200,江苏吴中
676,600872,中炬高新
677,002313,日海通讯
678,002557,洽洽食品
679,600561,江西长运
680,600060,海信电器
681,300098,高新兴
682,002523,天桥起重
683,002151,北斗星通
684,300386,飞天诚信
685,300094,国联水产
686,000065,北方国际
687,002503,搜于特
688,300193,佳士科技
689,002679,福建金森
690,300400,劲拓股份
691,300453,三鑫医疗
692,600509,天富能源
693,000673,当代东方
694,002726,龙大肉食
695,002572,索菲亚
696,300351,永贵电器
697,002271,东方雨虹
698,603300,华铁科技
699,300440,运达科技
700,000615,湖北金环
701,002653,海思科
702,300291,华录百纳
703,300076,GQY视讯
704,600289,亿阳信通
705,002273,水晶光电
706,002137,麦达数字
707,000882,华联股份
708,002333,罗普斯金
709,002690,美亚光电
710,300315,掌趣科技
711,300018,中元华电
712,300369,绿盟科技
713,002036,联创电子
714,000697,炼石有色
715,300231,银信科技
716,300070,碧水源
717,300421,力星股份
718,600677,航天通信
719,300406,九强生物
720,002106,莱宝高科
721,300161,华中数控
722,002404,嘉欣丝绸
723,002126,银轮股份
724,300411,金盾股份
725,000910,大亚科技
726,002381,双箭股份
727,002067,景兴纸业
728,300352,北信源
729,002010,传化股份
730,600137,浪莎股份
731,002672,东江环保
732,600118,中国卫星
733,603169,兰石重装
734,300263,隆华节能
735,600615,丰华股份
736,300191,潜能恒信
737,600403,大有能源
738,002296,辉煌科技
739,600461,洪城水业
740,002033,丽江旅游
741,300176,鸿特精密
742,300200,高盟新材
743,000056,皇庭国际
744,002274,华昌化工
745,600109,国金证券
746,600973,宝胜股份
747,600827,百联股份
748,000683,远兴能源
749,002048,宁波华翔
750,603369,今世缘
751,000158,常山股份
752,300017,网宿科技
753,002264,新华都
754,300490,华自科技
755,600703,三安光电
756,600735,新华锦
757,300444,双杰电气
758,000521,美菱电器
759,600088,中视传媒
760,603366,日出东方
761,002245,澳洋顺昌
762,600862,南通科技
763,002077,大港股份
764,002095,生意宝
765,000516,国际医学
766,300124,汇川技术
767,300144,宋城演艺
768,300322,硕贝德
769,300099,尤洛卡
770,600406,国电南瑞
771,600387,海越股份
772,002111,威海广泰
773,300397,天和防务
774,600241,时代万恒
775,002188,巴士在线
776,002268,卫士通
777,002054,德美化工
778,002756,永兴特钢
779,002162,悦心健康
780,002215,诺普信
781,600116,三峡水利
782,000402,金融街
783,002613,北玻股份
784,603355,莱克电气
785,600661,新南洋
786,002536,西泵股份
787,300058,蓝色光标
788,600136,道博股份
789,600479,千金药业
790,000886,海南高速
791,600345,长江通信
792,600617,国新能源
793,002442,龙星化工
794,600961,株冶集团
795,601216,君正集团
796,300486,东杰智能
797,000676,智度投资
798,300385,雪浪环境
799,000977,浪潮信息
800,002790,瑞尔特
801,600185,格力地产
802,002158,汉钟精机
803,600321,国栋建设
804,002417,三元达
805,600515,海航基础
806,002171,楚江新材
807,600570,恒生电子
808,603199,九华旅游
809,600336,澳柯玛
810,002144,宏达高科
811,300230,永利股份
812,300134,大富科技
813,002297,博云新材
814,600303,曙光股份
815,002081,金螳螂
816,600881,亚泰集团
817,000951,中国重汽
818,600285,羚锐制药
819,603999,读者传媒
820,601007,金陵饭店
821,300286,安科瑞
822,300131,英唐智控
823,002694,顾地科技
824,002699,美盛文化
825,002449,国星光电
826,300074,华平股份
827,300254,仟源医药
828,000050,深天马A
829,002472,双环传动
830,300336,新文化
831,000012,南玻A
832,300106,西部牧业
833,002290,禾盛新材
834,600168,武汉控股
835,000530,大冷股份
836,000760,斯太尔
837,603588,高能环境
838,002066,瑞泰科技
839,603698,航天工程
840,601801,皖新传媒
841,300108,双龙股份
842,300102,乾照光电
843,600178,东安动力
844,600470,六国化工
845,002143,印纪传媒
846,002681,奋达科技
847,300178,腾邦国际
848,002156,通富微电
849,002022,科华生物
850,002564,天沃科技
851,600150,中国船舶
852,603012,创力集团
853,300274,阳光电源
854,603116,红蜻蜓
855,002432,九安医疗
856,300326,凯利泰
857,600337,美克家居
858,002309,中利科技
859,300150,世纪瑞尔
860,300044,赛为智能
861,002343,慈文传媒
862,300270,中威电子
863,002197,证通电子
864,002275,桂林三金
865,000546,金圆股份
866,300339,润和软件
867,300280,南通锻压
868,000656,金科股份
869,600061,国投安信
870,002315,焦点科技
871,001896,豫能控股
872,002073,软控股份
873,000922,佳电股份
874,300128,锦富新材
875,002009,天奇股份
876,600523,贵航股份
877,002465,海格通信
878,002519,银河电子
879,300177,中海达
880,000068,华控赛格
881,600858,银座股份
882,002553,南方轴承
883,300002,神州泰岳
884,300011,鼎汉技术
885,603025,大豪科技
886,000759,中百集团
887,300147,香雪制药
888,300295,三六五网
889,603123,翠微股份
890,300455,康拓红外
891,300333,兆日科技
892,300121,阳谷华泰
893,300471,厚普股份
894,603969,银龙股份
895,002119,康强电子
896,600158,中体产业
897,002243,通产丽星
898,002532,新界泵业
899,300253,卫宁健康
900,002534,杭锅股份
901,002193,山东如意
902,002332,仙琚制药
903,600066,宇通客车
904,600644,乐山电力
905,601999,出版传媒
906,300255,常山药业
907,600529,山东药玻
908,002104,恒宝股份
909,600641,万业企业
910,002396,星网锐捷
911,600510,黑牡丹
912,002196,方正电机
913,002325,洪涛股份
914,300320,海达股份
915,000488,晨鸣纸业
916,300473,德尔股份
917,603002,宏昌电子
918,000637,茂化实华
919,002474,榕基软件
920,002145,中核钛白
921,002367,康力电梯
922,300039,上海凯宝
923,603818,曲美家居
924,300384,三联虹普
925,600702,沱牌舍得
926,600861,北京城乡
927,300214,日科化学
928,000681,视觉中国
929,002244,滨江集团
930,002666,德联集团
931,601965,中国汽研
932,300005,探路者
933,603315,福鞍股份
934,600099,林海股份
935,000702,正虹科技
936,002109,*ST兴化
937,002645,华宏科技
938,300398,飞凯材料
939,300357,我武生物
940,002339,积成电子
941,002435,长江润发
942,600981,汇鸿集团
943,000678,襄阳轴承
944,002574,明牌珠宝
945,002680,长生生物
946,000801,四川九洲
947,300461,田中精机
948,600730,中国高科
949,002457,青龙管业
950,001979,招商蛇口
951,000407,胜利股份
952,600785,新华百货
953,300262,巴安水务
954,600361,华联综超
955,600151,航天机电
956,000919,金陵药业
957,600064,南京高科
958,300052,中青宝
959,002234,民和股份
960,600187,国中水务
961,002094,青岛金王
962,000592,平潭发展
963,300130,新国都
964,600225,天津松江
965,600396,金山股份
966,603555,贵人鸟
967,000800,一汽轿车
968,002517,恺英网络
969,300067,安诺其
970,300293,蓝英装备
971,600119,长江投资
972,600975,新五丰
973,600439,瑞贝卡
974,600976,健民集团
975,300378,鼎捷软件
976,600686,金龙汽车
977,600682,南京新百
978,300418,昆仑万维
979,600521,华海药业
